City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,76.37,scattered clouds,-23.1203,-134.9692,People ThankYou
10,Doume,CM,87.31,light rain,4.2333,13.45,Hotel Universel
15,Kavieng,PG,81.77,clear sky,-2.5744,150.7967,Nusa Island Retreat
20,Matinhos,BR,75.49,broken clouds,-25.8175,-48.5428,Hotel Pousada Girassol
22,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
24,Caucaia,BR,87.04,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
26,Kudahuvadhoo,MV,86.13,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
28,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Pedernales,DO,77.86,overcast clouds,18.0384,-71.744,Hotel Costa Marina
32,Banjar,ID,78.04,overcast clouds,-8.19,114.9675,The Hamsa Resort
40,Faanui,PF,80.33,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
43,Atuona,PF,78.69,scattered clouds,-9.8,-139.0333,Villa Enata
47,Butaritari,KI,80.55,light rain,3.0707,172.7902,Isles Sunset Lodge
52,Ulcinj,ME,75.42,broken clouds,41.9294,19.2244,Hotel Palata Venezia
61,Hithadhoo,MV,85.91,light rain,-0.6,73.0833,Scoop Guest House
65,Japura,ID,75.97,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
71,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
73,Pozo Colorado,PY,86.81,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
74,Tirur,IN,83.39,overcast clouds,10.9,75.9167,Sangamam Residency
76,Isangel,VU,78.91,overcast clouds,-19.55,169.2667,Tanna Lodge
79,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
92,Maun,BW,84.16,few clouds,-19.9833,23.4167,Enviro Villa
94,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
96,Kirakira,SB,79.41,overcast clouds,-10.4544,161.9205,SanBiz Lodge
97,Luwuk,ID,77.65,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
98,Kulhudhuffushi,MV,85.95,scattered clouds,6.6221,73.07,Haajy Guest House 1
